iter	Passed	Remaining
417	3036	4228
418	3041	4218
419	3050	4212
420	3057	4204
421	3063	4195
422	3069	4186
423	3076	4178
424	3081	4169
425	3090	4163
426	3099	4159
427	3110	4156
428	3115	4146
429	3126	4144
430	3137	4142
431	3146	4137
432	3151	4126
433	3157	4118
434	3164	4109
435	3171	4102
436	3178	4095
437	3184	4086
438	3194	4081
439	3197	4069
440	3201	4057
441	3206	4048
442	3213	4040
443	3220	4033
444	3228	4026
445	3233	4016
446	3241	4010
447	3248	4002
448	3254	3994
449	3262	3987
450	3267	3977
451	3274	3969
452	3281	3961
453	3288	3954
454	3293	3944
455	3303	3941
456	3310	3933
457	3314	3922
458	3320	3914
459	3325	3903
460	3330	3894
461	3339	3889
462	3345	3879
463	3353	3873
464	3359	3865
465	3368	3860
466	3375	3852
467	3380	3842
468	3386	3833
469	3392	3825
470	3397	3816
471	3405	3809
472	3412	3801
473	3419	3794
474	3424	3785
475	3430	3775
476	3434	3765
477	3440	3757
478	3447	3749
479	3453	3741
480	3457	3730
481	3462	3720
482	3468	3713
483	3474	3704
484	3482	3697
485	3486	3687
486	3491	3678
487	3497	3669
488	3502	3659
489	3507	3650
490	3513	3642
491	3518	3633
492	3524	3624
493	3531	3616
494	3538	3609
495	3543	3601
496	3548	3591
497	3555	35844498	3560	3574
499	3565	3565
500	3571	3557
501	3577	3549
502	3584	3541
503	3592	3535
504	3598	3527
505	3604	3519
506	3609	3509
507	3616	3503
508	3622	3494
509	3626	3484
510	3633	3477
511	3639	3468
512	3644	3460
513	3650	3451
514	3657	3444
515	3661	3434
516	3668	3427
517	3673	3417
518	3680	3411
519	3685	3401
520	3691	3393
521	3695	3384
522	3701	3375
523	3706	3366
524	3712	3359
525	3717	3349
526	3724	3342
527	3731	3335
528	3736	3327
529	3742	3318
530	3747	3309
531	3752	3301
532	3757	3292
533	3763	3284
534	3767	3274
535	3773	3266
536	3781	3259
537	3786	3251
538	3792	3243
539	3797	3235
540	3804	3227
541	3812	3221
542	3820	3215
543	3826	3207
544	3834	3200
545	3838	3191
546	3844	3183
547	3849	3175
548	3853	3165
549	3860	3158
550	3865	3149
551	3870	3141
552	3875	3132
553	3881	3124
554	3885	3115
555	3892	3108
556	3897	3100
557	3903	3092
558	3911	3085
559	3915	3076
560	3922	3069
561	3933	3065
562	3945	3062
563	3953	3056
564	3963	3051
565	3973	3046
566	3979	3038
567	3989	3034
568	3997	3028
569	4004	3020
570	4012	3014
571	4019	3007
572	4023	2998
573	4030	2991
574	4036	2983
575	4044	2976
576	4048	2968
577	4052	2959
578	4058	2951
579	4065	2944
580	4071	2936
581	4078	2929
582	4082	2920
583	4089	2913
584	4097	2907
585	4103	2898
586	4108	2890
587	4114	2882
588	4121	2875
589	4129	2869
590	4134	2861
591	4142	2854
592	4148	2847
593	4152	2838
594	4158	2830
595	4164	2822
596	4167	2813
597	4175	2806
598	4181	2799
599	4187	2791
600	4190	2782
60602	4206	276602	4201	2765
60604	4216	27604605	4223	27605606	4230	27606607	4235	27660608	4240	27660609	4249	27160610	4255	27061611	4259	27061612	4264	26661613	4270	26661614	4277	26661615	4282	26661616	4289	26661617	4296	26617618	4304	26618619	4309	26461620	4320	2636
621	4327	2629
622	4336	2623
623	4341	2615
624	4346	2608
625	4353	2600
626	4361	2594
627	4366	2586
628	4372	2578
629	4378	2571
630	4383	2563
631	4389	2555
632	4394	2548
633	4401	2541
634	4406	2532
635	4411	2524
636	4418	2517
637	4424	2510
638	4429	2502
639	4435	2494
640	4442	2488
