iter	MultiClass
0	0.994005082
11	0.898229853922	0.813461473	03	0.753502714	04	0.696747008
5	0.63215189366	0.581091269777	0.541243916688	0.5029262348
9	0.465304436
10	0.4321803883
11	0.403254026
12	0.3774963757
13	0.3496710402
14	0.3285168175
15	0.3058174037
16	0.288624327
17	0.2710673131
18	0.2547029443
1919	0.23376018220	0.2227305912121	0.20788469222	0.1963472727
23	0.1858203365
2424	0.174623372525	0.165305792
26	0.1568244675
27	0.1488624587
28	0.1424785208
29	0.1343786573
30	0.1279433681
31	0.1217461377
32	0.1154024069
33	0.109311905
34	0.10360689
35	0.09871611272
36	0.09469736183
37	0.09078260444
38	0.08683600469
39	0.08305014041
40	0.0789872444141	0.07503931428
42	0.07220181154
43	0.06962846944444	0.06705035562
45	0.06360216724646	0.06087920664747	0.05937726814848	0.05745260449	49	0.05543576650	50	0.05400062751	51	0.05168860752	52	0.05067142253	53	0.04887641354	54	0.04735451255	0.04489581192
5656	0.044645412157	0.04226696554
5858	0.04150384185959	0.03956412460	60	0.03843198361	61	0.03759392462	62	0.036357509663	0.03545964106464	0.03478788965	65	0.03364439666	66	0.03323188367	67	0.03235494668	68	0.0311244446969	0.030575405870	0.02996361712
7171	0.028917490072	0.02815960312
73	0.02770661266
74	0.02712493922
75	0.0264810483
76	0.02579636521
77	0.02512173276
78	0.02456559435
79	0.02382086874
80	0.0233826834
81	0.02302232534
82	0.02264873297
83	0.02213866387
84	0.0217030879
85	0.02139815674
86	0.02112701706
87	0.02067185848
88	0.02007825026
89	0.01963283848
90	0.019141458
91	0.01890906391
92	0.01850174548
93	0.01821582722
94	0.01775540917
95	0.01749971455
96	0.01710474808
97	0.01689391792
98	0.01649531841
99	0.01617884963
100	0.01586033549
101	0.01558777779
102	0.01525230445
103	0.01497884087
104	0.01473453294
105	0.01446869856
106	0.01421547719
107	0.01391562715
108	0.0136244196
109	0.0133982538
110	0.01318249684
111	0.01292124062
112	0.01270208133
113	0.01248477719
114	0.01224671989
115	0.01207456535
116	0.01188853077
117	0.01169746162
118	0.01156353835
119	0.01138269362
120	0.01129524622
121	0.01115383123
122	0.01097530859
123	0123	0.01038430501
124	0.0102984125	0125	0.01013036968
126	0.009967549619
127	0.009809781172
128	0.00965683916
129	0.009508511092
130	0.009364596331
131	0.009224905306
132	0.009089258798
133	0.009031688189
134	0.008901211867
135	0.008799109456
136	0.008675071334
137	0.008554442806
138	0.008437087437
139	0.008319114336
140	0.008241352912
141	0.008132257928
142	0.008045197274
143	0.007928531037
144	0.007828609351
145	0.00778341754
146	0.007685771551
147	0.00758747778
148	0.007512936248
149	0.007421867102
150	0.007332964991
151	0.007246154058
152	0.007186920085
153	0.007101470635
154	0.007040091136
155	0.006959911814
156	0.006881528568
157	0.006804882019
158	0.006727600883
159	0.006652093923
160	0.006578299818
161	0.006546914627
162	0.00651232948
163	0.00644347783
164	0.006357467663
165	0.00630600277
166	0.006273511509
167	0.006226657112
168	0.006161657342
169	0.006099838225
170	0.006047020904
171	0.005987392731
172	0.005927217387
173	0.005869919779
174	0.005812099527
175	0.005787534711
176	0.00573276747
177	0.005677483247
178	0.005624773119
179	0.005571569239
180	0.005548474331
181	0.005496663506
182	0.005445835171
183	0.005397281009
184	0.005372247498
185	0.005350624207
186	0.005321586707
187	0.005270500861
188	0.005249828299
189	0.005228012344
190	0.005181768876
191	0.00513755701
192	0.005094092742
193	0.005050203316
194	0.005008202749
195	0.004966894335
196	0.004926261056
197	0.004886286446
198	0.004846954569
199	0.004807229231
200	0.004788162243
201	0.004750363052
202	0.004713155171
203	0.004675576249
204	0.004638606794
205	0.004603127523
206	0.004568185812
207	0.004553604872
208	0.004518513658
209	0.004501031945
210	0.004485637643
211	0.004452355114
212	0.004437166626
213	0.004418933547
214	0.004385770287
215	0.004353113826
216	0.004318531705
217	0.004287640273
218	0.004256441945
219	0.004243163336
220	0.004221645566
221	0.004191371792
222	0.004168775101
223	0.004154543517
224	0.004125888611
225	0.004111021145
226	0.004082938917
227	0.004068142257
228	0.004054955547
229	0.004026926119
230	0.0039999386
231	0.003973310397
232	0.0233	0.004172233	0.003932235383
234	0.003905857989
235	0.003890572887
236	0.003864744225
237	0.003839264937
238	0.0239	0.004021239	0.003782684039
240	0.0241	0.003977241	0.0242	0.003955242	0.0243	0.003934243	0.003718129096
