iter	Logloss
0	0.6754804117
1	0.660618661
2	0.6450278577
3	0.6306260007
4	0.6170099713
5	0.6033418142
6	0.5952483434
7	0.5832370042
8	0.5681189523
9	0.5543454553
10	0.5419101231
11	0.5291494379
12	0.5174525692
13	0.5080795675
14	0.4978864641
15	0.485666033
16	0.4758545542
17	0.4640171419
18	0.4525079872
19	0.4443750527
20	0.4337430073
21	0.4258649022
22	0.4172168093
23	0.4090784528
24	0.3993979904
25	0.3916608162
26	0.3826849691
27	0.3757621262
28	0.368250813
29	0.3617922788
30	0.3559950233
31	0.3478262267
32	0.3398760103
33	0.3335402048
34	0.3273097779
35	0.3212626114
36	0.3147289257
37	0.3074389617
38	0.3008838402
39	0.2955698701
40	0.2910608204
41	0.2856954584
42	0.2810165483
43	0.2743897801
44	0.2694914377
45	0.2652391153
46	0.2594128139
47	0.2543683512
48	0.2490726219
49	0.2439518265
50	0.2368907057
51	0.2325620312
52	0.2312847467
53	0.2271504281
54	0.2240069239
55	0.2210119799556	0.2166929293557	0.2126273528558	0.208075276559	0.2050783574
60	0.2023426385
61	0.1986923605
62	0.1950224281
663	0.191940114
64	0.1887483161
65	0.185570925
66	0.1825686034
67	0.1793770572
68	0.1767806232
69	0.1737393413
70	0.1706256382
71	0.1678218938
72	0.1648934069
73	0.1625554041
74	0.1602333669
75	0.158289585
76	0.1556762947
77	0.1534336884
78	0.1511500596
79	0.1486395434
80	0.1468998575
81	0.1449243187
82	0.1423852601
83	0.1402065451
84	0.138337692
85	0.1368796838
86	0.1352366142
87	0.1334090257
88	0.1314664347
89	0.1298000316
90	0.1279974419
91	0.1258376456
92	0.1243182245
93	0.1225823727
94	0.1209545426
95	0.1193248148
96	0.1174374304
97	0.1160063768
98	0.1144515197
99	0.1126551555
100	0.1116029381
101	0.110154302
1102	0.10551881551103	0.10405658591104	0.102410544
105	0.1052093119
106	0.1004123494
107	0.09889557156108	0.1020464244
109	0.1013571841
110	0.10008232
111	0.111	0.094459112	0.112	0.09370401063
113	0.09225865669
114	0.090973115	0.115	0.090472116	0.09319237646
117	0.117	0.088392118	0.118	0.087283119	0.119	0.086185120	0.120	0.085291121	0.121	0.08122	0.0872122	0.08366587682
123	0.08124	0.0858124	0.08206878701
125	0.0814513192
126	0.0809160126
127	0.08019823955
128	0.07909161911
129	0.07820576702
130	0.07719112532
131	0.0762132	0.07132	0.0754133	0.07133	0.074799862
134	0.074002135	0.135	0.073496136	0.07659025241
137	0.07550795792
138	0.07481215327
139	0.07410191763
140	0.07344337405
141	0.0729481944
142	0.07257208848
143	0.07222151877
144	0.07117395353
145	0.07041550167
146	0.06976582677
147	0.06914588037
148	0.06858495044
149	0.06754896483
150	0.06700134761
151	0.0665904931
152	0.06632976726
153	0.06563246674
154	0.06509011167
155	0.06436011997
156	0.06390890131
157	0.06347237021
158	0.06308388589
159	0.06248346803
160	0.06199829954
161	0.06132135536
162	0.06106281765
163	0.06072444238
164	0.06041771748
165	0.06013121339
166	0.0595102165
167	0.05907197168
168	0.05843337296
169	0.05812232506
170	0.05774080209
171	0.05717584929
172	0.05659367711
173	0.05636141143
174	0.05614871301
175	0.05561772458
176	0.05526575582
177	0.05449170146
178	0.05412111428
179	0.05388865011
180	0.05359661761
181	0.05344586929
182	0.05331110591
183	0.05281188887
184	0.05261381508
185	0.05236665367
186	0.051957387
187	0.05170607204
188	0.05128819809
189	0.05067764805
190	0.05048597888
191	0.05019732054
192	0.04982652035
193	0.04943758098
194	0.04915161907
195	0.04888924729
196	0.04874674802
197	0.04852037865
198	0.04822631294
199	0.04787213669
200	0.04758846941
201	0.0473132545
202	0.04715585951
203	0.04684259928
204	0.04654725554
205	0.04632890769
206	0.0460645027
207	0.04582850461
208	0.04564697246
209	0.04541497787
210	0.04527661764
211	0.0450741918
212	0.0447864242
213	0.04448489852
214	0.04426786258
215	0.04392200315
216	0.04367980376
217	0.0434307931
218	0.04314803593
219	0.04286584999
220	0.04248622468
221	0.04226693768
222	0.04211136774
223	0.04194108121
224	0.04177284241
225	0.04156755554
226	0.04143445746
227	0.227	0.038138228	0.228	0.037960229	0229	0.0376858230	0230	0.0375363231	0231	0.0374032232	0232	0.0372788233	0233	0.03684845552
234	0.0366871235	0235	0.0365026236	0236	0.0364569237	0.03934334256
238	0.03899836419
239	0.03889642512
240	0.03873146851
241	0.03860551331
242	0.03848014628
243	0.03831118618
244	0.03816433243
245	0.03805920315
