iter	Passed	Remaining
418	3275	4542
419	3281	4531
420	3287	4520
421	3290	4507
422	3296423	32423	3300424	32424	3308425	32425	3315426	3304	4434
427	33427	3326428	3316	4414
429	3321	4402
430	33430	3344431	33431	3349432	33432	3356433	3346	4364
434	33434	3371	4379
435	3375436	33436	3378437	33437	3386438	33438	3396	4339
439	3404	4332
440	3411	4324
441	3421	4318
442	3424	4305
443	3431	4297
444	3439	4289
445	3449	4284
446	3456	4276
447	3463	4267
448	3468	4256
449	3474	4247
450	3481	4237
451	3489	4230
452	3496	4221
453	3503	4213
454	3509	4203
455	3518	4197
456	3523	4186
457	3532	4180
458	3538	4170
459	3544	4160
460	3549	4150
461	3558	4143
462	3566	4136
463	3575	4130
464	3585	4125
465	3591	4115
466	3602	4111
467	3612	4107
468	3617	4095
469	3623	4085
470	3627	4073
471	3630	4061
472	3635	4050
473	3640	4039
474	3644475	36475	3652	4021
476	3658477	36477	3663478	3654	3974
479	3661	3966
480	36480	3682481	36481	3690482	3683	3943
483	3690	3934
484	3697	3925
485	3708	3922
486	3715	3913
487	37487	3741488	37488	3754489	37489	3762490	3756	3893
491	3763	3886
492	3772	3879
493	3783	3874
494	3788	3864
495	3797	3858
496	3804	3850
497	3810	3841
498	3820	3835
499	3823	3823
500	3827	3812
501	3835	3804
502	3841	3795
503	3848	3787
504	3860	3784
505	3867	3776
506	3872	3766
507	3878	3755
508	3887	3749
509	3895	3742
510	3901	3733
511	3908	3725
512	3915	3717
513	3921	3708
514	3927	3698
515	3933	3689
516	3938	3679
517	3942	3668
518	3948	3659
519	3955	3650
520	3964	3644
521	3973	3639
522	3977	3627
523	3986	3621
524	3992	3612
525	4000	3605
526	4008	3597
527	4012	3586
528	4019	3578
529	4026	3570
530	4032	3561
531	4038	3552
532	4044	3544
533	4050	3534
534	4056	3525
535	4064	3518
536	4073	3512
537	4083	3506
538	4088	3497
539	4093	3487
540	4102	3481
541	4111	3474
542	4121	3468
543	4128	3461
544	4137	3453
545	4140	3443
546	4148	3435
547	4154	3426
548	4163	3420
549	4172	3413
550	4180	3406
551	4187	3398
552	4192	3388
553	4197	3379
554	4204	3371
555	4209	3361
556	4214	3352
557	4220	3343
558	4227	3335
559	4233	3326
560	4240	3318
561	4245	3308
562	4254	3302
563	4258	3292
564	4268	3286
565	4274	3277
566	4278	3267
567	4287	3260
568	4295	3253
569	4301	3244
570	4307	3236
571	4312	3226
572	4319	3219
573	4328	3212
574	4335	3204
575	4340	3195
576	4346	3186
577	4359	3182
578	4366	3175
579	4376	3169
580	4378	3157
581	4387	3151
582	4394	3143
583	4400	3134
584	4408	3127
585	4415	3119
586	4422	3111
587	4430	3104
588	4435	3095
589	4445	3089
590	4456	3083
591	4465	3077
592	4475	3071
593	4488	3067
594	4495	3059
595	4507	3055
596	4516	3049
597	4522	3040
598	4530	3032
599	4536	3024
600	4543	3016
601	4548	3007
602	4556	2999
603	4565	2993
604	4575	2987
605	4581	2979
606	4588	2971
607	4596	2963
608	4602	2955
609	4606	2945
610	4613	2936
611	4618	2927
612	4626	2920
613	4634	2913
614	4640	2905
615	4647	2897
616	4655	2889
617	4660	2881
618	4669	2874
619	4674	2864
620	4682	2857
621	4685	2847
622	4692	2839
623	4702	2833
624	4713	2827
625	4724	2822
626	4731	2814
627	4738	2806
628	4745	2798
629	4751	2790
630	4759	2783
631	4768	2776
632	4775	2768
633	4782	2760
634	4789	2752
635	4800	2747
636	4806	2739
637	4813	2731
638	4819	2722
639	4830	2716
640	4839	2710
641	4844	2701
642	4854	2695
643	4858	2685
644	4865	2677
645	4871	2669
646	4879	2662
647	4888	2655
648	4897	2648
649	4903	2640
650	4908	2631
651	4913	2622
652	4920	2614
653	4928	2607
654	4933	2598
655	4941	2591
656	4947	2582
657	4952	2574
658	4955	2564
659	4960	2555
660	4971	2549
661	4973	2539
662	4980	2531
663	4986	2523
664	4988	2513
665	4997	2506
666	5003	2498
667	5012	2491
668	5017	2482
669	5025	2475
670	5030	2466
671	5040	2460
672	5047	2452
673	5054	2444
674	5064	2438
675	5072	2431
676	5077	2422
677	5082	2413
678	5088	2405
679	5095	2397
680	5102	2390
681	5111	2383
682	5120	2376
683	5127	2368
684	5130	2359
685	5137	2351
686	5144	2343
687	5148	2334
688	5159	2328
689	5162	2319
690	5169	2311
691	5180	2305
692	5192	2300
693	5200	2292
694	5206	2285
695	5209	2275
696	5213	2266
697	5218	2257
698	5224	2249
699	5232	2242
700	5239	2234
701	5244	2226
702	5254	2219
703	5259	2211
704	5266	2203
705	5270	2194
706	5278	2187
707	5281	2178
708	5288	2170
709	5298	2164
710	5303	2155
711	5309	2147
712	5315	2139
713	5323	2132
714	5329	2124
715	5337	2117
716	5343	2108
717	5350	2101
718	5357	2093
719	5363	2085
720	5369	2077
721	5376	2070
722	5383	2062
723	5392	2055
724	5400	2048
725	5404	2039
726	5411	2032
727	5417	2024
728	5422	2015
729	5427	2007
730	5431	1998
731	5438	1991
732	5446	1983
733	5452	1976
734	5460	1968
735	5467	1961
736	5475	1953
737	5479	1945
738	5482	1936
739	5488	1928
740	5495	1920
741	5500	1912
742	5502	1903
743	5512	1896
744	5520	1889
745	5527	1881
746	5536	1875
747	5541	1866
748	5548	1859
749	5556	1852
750	5562	1844
751	5573	1837
752	5576	1829
753	5586	1822
754	5593	1814
755	5601	1807
756	5608	1800
757	5617	1793
758	5623	1785
759	5631	1778
760	5638	1770
761	5646	1763
762	5651	1755
763	5655	1746
764	5660	1738
765	5665	1730
766	5671	1723
767	5675	1714
768	5681	1706
769	5690	1699
770	5697	1692
771	5704	1684
772	5710	1677
773	5720	1670
774	5728	1663
775	5732	1654
776	5738	1646
777	5744	1639
778	5750	1631
779	5758	1624
780	5765	1616
781	5769	1608
782	5781	1602
783	5787	1594
784	5794	1587
785	5800	1579
786	5808	1571
787	5816	1564
788	5823	1557
789	5831	1550
790	5837	1542
791	5843	1534
792	5847	1526
793	5852	1518
794	5858	1510
795	5864	1502
796	5870	1495
797	5878	1488
798	5887	1480
799	5893	1473
800	5897	1465
801	5904	1457
802	5911	1450
803	5915	1441
804	5922	1434
805	5929	1427
806	5934	1419
807	5938	1411
808	5946	1403
809	5953	1396
810	5962	1389
811	5966	1381
812	5976	1374
813	5981	1366
814	5988	1359
815	5992	1351
816	5998	1343
817	6007	1336
818	6012	1328
819	6017	1320
820	6027	1314
821	6033	1306
822	6042	1299
823	6049	1292
824	6054	1284
825	6062	1277
826	6070	1269
827	6075	1262
828	6079	1254
829	6084	1246
830	60830	6105831	60831	6112832	6108	1224
833	61833	6132834	6130	1211
835	61835	6153836	61836	6162837	61837	6167838	61838	6175839	61839	6181840	61840	6189841	61841	6197	1162
842	6203843	61843	6207844	6199	1137
845	6208	1130
846	6215	1122
847	62847	6237848	62848	6246	1110
849	6255	1103
850	6262	1096
851	6265852	62852	6275	1081
853	6284	1074
854	6293	1067
855	6296	1059
856	6300857	62857	6305858	62858	6311859	6302	1026
860	6307	1018
861	6315	1011
862	63862	6337863	63863	634864	63864	635865	63865	636866	6359	975
867	63867	638868	6373	960
869	6380	953
870	6384	945
871	63871	640872	6397	930
873	6405	923
874	64874	642875	64875	6444	912
876	6457	905
877	6463	898
878	6475	891
879	6485	884
880	6506	878
881	6521	872
882	6530	865
883	6536	857
884	6544	850
885	6566	844
886	6571	837
887	657888	6637	828
889	6667	824
890	6675	816
891	6682	809
892	6686	801
893	6690	793
894	6693	785
895	6697	777
896	6707	770
897	6712	762
898	6716	754
899	6721	746
900	6726	739
901	6751	733
902	6774	727
903	6793	721
904	6805	714
905	6809	706
906	6812	698
907	6818	690
908	6822	683
909	6825	675
910	6827	667
911	6830	659
912	6833	651
913	6835	643
914	6838	635
915	6840	627
916	6842	619
917	6845	611
918	6847	603
919	6850	595
920	6852	587
921	6854	579
922	6856	572
923	6859	564
924	6861	556
925	6863	548
926	6865	540
927	6868	532
928	6870	525
929	6872	517
930	6875	509
931	6877	501
932	6880	494
933	6882	486
934	6884	478
935	6886	470
936	6888	463
937	6891	455
938	6893	447
939	6895	440
940	6897	432
941	6899	424
942	6901	417
