iter	RMSE
0	22.31651013
1	22.13009884
2	21.96753414
3	21.79207212
4	21.63807522
5	21.47632513
6	21.32444987
7	21.15675524
8	20.99949904
9	20.89374401
10	20.77138505
11	20.64857683
12	20.53635426
13	20.39910617
14	20.27567922
15	20.16966506
16	20.05829377
17	19.96016402
18	19.86175763
19	19.7727364
20	19.69711076
21	19.617483
22	19.54303338
23	19.46392951
24	19.38396546
25	19.32266087
26	19.25971009
27	19.20218171
28	19.13803951
29	19.07464249
30	19.02747784
31	18.98304147
32	18.94695886
33	18.90384462
34	18.86245382
35	18.8059014
36	18.76408607
37	18.7207784
38	18.67683534
39	18.64448063
40	18.59287606
41	18.5545641
42	18.52153665
43	18.47956815
44	18.43355609
45	18.38992781
46	18.35262136
47	18.32398119
48	18.29809239
49	18.2756235
50	18.23052356
51	18.20328885
52	18.17506096
53	18.15400331
54	18.12033605
55	18.09154364
56	18.06399225
57	18.04283402
58	18.01383383
59	17.98114499
60	17.96498597
61	17.9305416
62	17.90196215
63	17.89127736
64	17.86467386
65	17.84979431
66	17.81715146
67	17.80765886
68	17.78393351
69	17.76214233
70	17.73897151
71	17.71600175
72	17.6970678
73	17.67955433
74	17.65321493
75	17.63313184
76	17.60853331
77	17.59620838
78	17.59071406
79	17.55975346
80	17.55064441
81	17.54149098
82	17.52083833
83	17.49896231
84	17.48217394
85	17.47053877
86	17.44796049
87	17.43826215
88	17.42235756
89	17.41023269
90	17.39551983
91	17.38049103
92	17.37135702
93	17.33663485
94	17.3243658
95	17.29843068
96	17.2654305
97	17.24881441
98	17.23607576
99	17.21613492
100	17.20545275
101	17.18813648
102	17.17465272
103	17.15893182
104	17.14422343
105	17.13660981
106	17.13126163
107	17.11456089
108	17.09453198
109	17.07944516
110	17.06068308
111	17.03976089
112	17.02271428
113	17.00882804
114	16.98869525
115	16.97645518
116	16.96679914
117	16.94897738
118	16.92863225
119	16.91712867
120	16.89583245
121	16.87562845
122	16.87293812
123	16.85404733
124	16.84331993
125	16.83783832
126	16.81797513
127	16.80340413
128	16.79808394
129	16.78823227
130	16.77084117
131	16.75972591
132	16.74993607
133	16.73845725
134	16.72035405
135	16.71380338
136	16.69749611
137	16.67826292
138	16.65185521
139	16.63092692
140	16.61129083
141	16.59935393
142	16.58470013
143	16.57140561
144	16.55350262
145	16.53836295
146	16.53835192
147	16.52532702
148	16.5109057
149	16.50052085
150	16.47820511
151	16.46565896
152	16.43834433
153	16.42478477
154	16.40577772
155	16.37523951
156	16.35981752
157	16.33814998
158	16.32582639
159	16.31936534
160	16.29895856
161	16.28585377
162	16.27235961
163	16.24983437
164	16.24305845
165	16.23113424
166	16.2165043
167	16.19951373
168	16.19641029
169	16.17357576
170	16.16792748
171	16.14443591
172	16.12654942
173	16.11396224
174	16.09859418
175	16.07239571
176	16.05458806
177	16.03890259
178	16.02313766
179	16.00972355
180	15.98090752
181	15.96357102
182	15.95461078
183	15.94027405
184	15.92735056
185	15.90710802
186	15.89176717
187	15.88022044
188	15.86398948
189	15.85354834
190	15.83772156
191	15.82223675
192	15.81510376
193	15.81330493
194	15.79329878
195	15.77511899
196	15.77092573
197	15.76181831
198	15.75248898
199	15.73416652
200	15.7177244
201	15.70213544
202	15.68272598
203	15.66777535
204	15.65563026
205	15.64295263
206	15.63144513
207	15.62250248
208	15.61421015
209	15.60885653
210	15.60354151
211	15.58395269
212	15.57863203
213	15.56730586
214	15.55419109
215	15.53790059
216	15.52669509
217	15.51707103
218	15.51192863
219	15.48554078
220	15.48254725
221	15.46563098
222	15.45903764
223	15.44777061
224	15.43460082
225	15.41867189
226	15.4083109
227	15.39371079
228	15.38919988
229	15.3667343
230	15.35049025
231	15.34046387
232	15.33211523
233	15.3213057
234	15.31648906
235	15.30258269
236	15.29308826
237	15.28099091
238	15.27868878
239	15.26852805
240	15.25688496
241	15.22600276
242	15.21990126
243	15.21487833
244	15.2006752
245	15.18562916
246	15.17648567
247	15.1699261
248	15.16685425
249	15.16046172
250	15.15769466
251	15.15126993
252	15.14867568
253	15.13261415
254	15.12267356
255	15.10268663
256	15.08477108
257	15.05730238
258	15.0443098
259	15.01601253
260	15.00124607
261	14.99401646
262	14.97944807
263	14.95823413
264	14.93732604
265	14.92482637
266	14.91679368
267	14.90751451
268	14.89394551
269	14.87384018
270	14.85713491
271	14.84499654
272	14.83730675
273	14.80322884
274	14.80105583
275	14.78906652
276	14.78602478
277	14.76103116
278	14.73663948
279	14.71833198
280	14.69219026
281	14.68486463
282	14.66138234
283	14.65880311
284	14.64268115
285	14.63330696
286	14.6065192
287	14.59818973
288	14.58893581
289	14.56676113
290	14.54185728
291	14.53150416
292	14.51676102
293	14.49602982
294	14.48733392
295	14.47165801
296	14.46935253
297	14.45247142
298	14.42609948
299	14.40221208
300	14.38660235
301	14.36552223
302	14.36365221
303	14.34851095
304	14.32430364
305	14.30343107
306	14.28330535
307	14.26256051
308	14.25707318
309	14.23784587
310	14.22802056
311	14.22589266
312	14.21173174
313	14.18300486
314	14.17525367
315	14.1709545
316	14.14742164
317	14.14058568
318	14.12019223
319	14.11040659
320	14.08209704
321	14.0680701
322	14.04505782
323	14.02347235
324	14.01702234
325	13.99693738
326	13.99498984
