iter	Passed	Remaining
0	141	140895
1	144	72303
2	146	48630
3	150	37412
4	153	30563
5	155	25739
6	159	22611
7	164	20373
8	168	18540
9	171	17009
10	176	15852
11	179	14808
12	183	13938
13	185	13060
14	187	12320
15	188	11568
16	192	11114
17	195	10657
18	198	10229
19	201	9877
20	204	9519
21	206	9196
22	209	8897
23	212	8635
24	215	8419
25	220	8275
26	221	7978
27	225	7813
28	228	7662
29	231	7472
30	233	7294
31	237	7176
32	239	7019
33	241	6851
34	243	6701
35	247	6620
36	250	6507
37	250	6350
38	254	6263
39	256	6159
40	257	6031
41	260	5937
42	263	5868
43	269	5854
44	274	5821
45	280	5820
46	283	5747
47	284	5648
48	286	5566
49	291	5538
50	294	5485
51	300	5479
52	303	5427
53	311	5450
54	313	5391
55	317	5354
56	322	5328
57	327	5317
58	329	5258
59	333	5220
60	335	5166
61	341	5161
62	343	5110
63	345	5049
64	348	5017
65	350	4955
66	353	4919
67	353	4850
68	358	4841
69	360	4792
70	364	4763
71	366	4727
72	368	4677
73	370	4633
74	373	4600
75	374	4556
76	376	4516
77	380	4492
78	380	4437
79	382	4397
80	384	4363
81	386	4323
82	389	4300
83	391	4274
84	395	4257
85	402	4274
86	403	4234
87	406	4213
88	410	4197
89	412	4171
90	414	4139
91	416	4111
92	419	4094
93	421	4063
94	423	4036
95	427	4026
96	431	4020
97	435	4005
98	437	3984
99	440	3964
100	442	3939
101	444	3914
102	448	3909
103	450	3882
104	454	3871
105	457	3858
106	458	3829
107	462	3820
108	465	3802
109	467	3784
110	470	3769
111	472	3750
112	474	3722
113	479	3724
114	482	3711
115	485	3702
116	488	3687
117	490	3666
118	493	3651
119	495	3633
120	498	3619
121	500	3603
122	502	3579
123	504	3565
124	508	3557
125	510	3542
126	514	3538
127	517	3526
128	518	3498
129	520	3483
130	524	3477
131	527	3465
132	531	3461
133	533	3450
134	536	3435
135	536	3411
136	539	3397
137	542	3386
138	547	3390
139	551	3389
140	553	3371
141	556	3364
142	559	3353
143	561	3337
144	563	3324
145	568	3323
146	568	3298
147	570	3286
148	573	3277
149	577	3272
