iter	Passed	Remaining
0	152	152520
1	153	76654
2	159	52928
3	167	41597
4	172	34280
5	176	29283
6	191	27165
7	187	23287
8	205	22668
9	211	20955
10	216	19506
11	214	17695
12	222	16864
13	229	16192
14	236	15535
15	245	15074
16	254	14717
17	262	14309
18	270	13977
19	276	13534
20	282	13177
21	291	12958
22	297	12626
23	307	12498
24	314	12248
25	319	11980
26	325	11714
27	330	11473
28	340	11394
29	346	11203
30	355	11102
31	362	10967
32	371	10873
33	378	10741
34	386	10661
35	397	10633
36	402	10485
37	408	10338
38	413	10180
39	420	10094
40	428	10026
41	434	9901
42	440	9802
43	444	9667
44	453	9631
45	462	9589
46	470	9541
47	477	9476
48	484	9398
49	488	9287
50	493	9173
51	500	9123
52	507	9075
53	512	8979
54	518	8911
55	523	8827
56	531	8795
57	536	8720
58	542	8656
59	548	8596
60	556	8569
61	560	8480
62	569	8473
63	576	8438
64	583	8397
65	591	8371
66	596	8302
67	606	8315
68	611	8256
69	618	8223
70	626	8195
71	630	8125
72	636	8080
73	641	8026
74	64675	65575	655	7965
76	66177	67277	67178	68178	67979	69279	69180	70080	702	7964
81	709	7943
82	717	7925
83	726	7924
84	734	7903
85	739	7854
86	746	7831
87	752	7798
88	759	7773
89	76490	77390	77091	78191	77692	78792	78593	79593	797	7688
94	804	7664
95	813	7663
96	821	7645
97	829	7633
98	835	7599
99	845	7608
100	854	7603
101	859	7562
102	868	7563
103	874	7535
104	883	7527
105	888	7494
106	895	7474
107	902	7450
108	906	7411
109	912	7379
110	921	7381
111	928	7365
112	934	7338
113	942	7324
114	949	7304
115	955	7281
116	963	7272
117	967	7233
118	974	7211
119	979	7184
120	983	7145
121	990	7130
122	996	7108
123	1003	7089
124	1009	7063
125	1016	7053
126	1025	7049
127	1033	7038
128	1038	7014
129	1050	7029
130	1056	7010
131	1064	6999
132	1075	7008
133	1079	6976
134	1088	6971
135	1096	6963
136	1100	6935
137	1105	6908
138	1111	6884
139	1117	6864
140	1122	6837
141	1130	6832
